2024/2025 Semester 1 Final Teaching Timetable,,,,,
,,,,,
BIUST - AUDITORIUM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
0800-0850,ALSS 201 Tutorial Group D,CHEE 411 LECTURE,EEEN 516 LECTURE,CHEE 413 Tutorial,"GEME 411 LECTURE IND, MATERIALS, MINING"
0900-0950,ALSS 201 Lecture Group A,CHEE 411 LECTURE,EEEN 516 LECTURE,GLEN 313 TUTORIAL,"GEME 411 LECTURE IND, MATERIALS, MINING"
1000-1050,MATH 207 Lecture,MMEE 210 TUT ELEC,ENVS 6101 LECTURE,CHEE 210 Tutorial,CHEE 510 LECTURE
1100-1150,MINE 416 TUTORIAL,MCTE 521 LECTURE,ENVS 401 TUTORIAL,MECE 211 TUTORIAL GROUP H,CHEE 415 Lecture
1200-1250,MMEE 410 LECTURE,MCTE 521 LECTURE,INME 313 LECTURE,MATH 622 TUT,COMP 311 LECTURE
1300-1350,MATH 401 LECTURE,ALSS 301 TUTORIAL GROUP 4,INME 313 LECTURE,ALSS 101 Tutorial Group D,COMP 311 LECTURE
1400-1450,MMEE 513 LECTURE,CIVE 517 LECTURE,GEOL 303 LECTURE,GLEN 222 LECTURE,CHEM 101 TUTORIAL GROUP G
1500-1550,MMEE 513 LECTURE,CIVE 517 LECTURE,GEOL 303 LECTURE,GLEN 222 LECTURE,EEEN 311 LECTURE
1600-1650,INME 414 LECTURE,GLEN 514 LECTURE,CHEE 514 Tutorial,CIVE 514 LECTURE,EEEN 311 LECTURE
1700-1750,INME 414 LECTURE,GLEN 514 LECTURE,CHEE 510 LECTURE,CIVE 514 LECTURE,CHEM 101 TUTORIAL GROUP I
1800-1850,,,,,
1900-1950,,,,,
BIUST - 125/003-004,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,GEOL 307 TUTORIAL SCIENCE GROUPS,STAT 421 & STAT 603 LECTURE,ALSS 301 TUTORIAL GROUP 1,COMP 342 LECTURE,
0900-0950,ENVS 301 TUTORIAL,STAT 421 & STAT 603 LECTURE,MATH 301 Lecture,COMP 342 LECTURE,
1000-1050,MMEE 210 TUT IND,GLEN 313 LECTURE,STAT 304 TUT,EEEN 314 LECTURE,GEOL 621 TUT
1100-1150,PHYS 404 LECTURE,GLEN 313 LECTURE,MATH 307 TUTORIAL,EEEN 314 LECTURE,CHEM 203 Lecture
1200-1250,ALSS 201 Tutorial Group J,CHEM 402 LECTURE,CHEM 403 LECTURE,CHEM 309 Lecture,BIOL 101 TUTORIAL GEOLOGY
1300-1350,MATH 101 TUT MATERIALS,EEEN 314 TUTORIAL,CHEM 403 LECTURE,MATH 202 TUTORIAL PHYS & PA CHEM,GEME 415 TUTORIAL
1400-1450,ENVS 309 TUTORIAL,CHEE 414 LECTURE,INME 311 LECTURE,CHEM 101 TUTORIAL GROUP A,
1500-1550,CHEM 205 TUTORIAL PA CHEM & FORE,CHEE 414 LECTURE,INME 311 LECTURE,PHYS 301 TUT,ALSS 301 LECTURE GROUP 3
1600-1650,EEEN 313 LECTURE,EEEN 313 TUTORIAL,MINE 513 LECTURE,MATH 207 LECTURE,BIOL 303 LECTURE
1700-1750,EEEN 313 LECTURE,ALSS 201 Tutorial Group C,MINE 513 LECTURE,MATH 207 LECTURE,BIOL 303 LECTURE
1800-1850,CHCL 101 LECTURE,,CHCL 101 LECTURE,,
1900-1950,CHCL 101 LECTURE,,CHCL 101 LECTURE,,
BIUST - 125/005-006,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,COMP 361 LECTURE,,MMEE 522 TUT,BIOL 203 LECTURE,TELE 522 LECTURE
0900-0950,COMP 361 LECTURE,,MMEE 411 TUT,BIOL 203 LECTURE,TELE 522 LECTURE
1000-1050,ALSS 101 Tutorial Group K,STAT 401 TUT,MMEE 415 LECTURE,MATH 301 TUTORIAL,GEOL 401 LECTURE
1100-1150,MMEE 210 TUT GEOLOGICAL,MINE 523 LECTURE,MMEE 415 LECTURE,ENVS 305 TUTORIAL,MATH 302 TUTORIAL
1200-1250,MCTE 511 TUTORIAL,MINE 523 LECTURE,COMP 331 LECTURE,ALSS 101 Lecture Group C,MATH 301 LECTURE
1300-1350,MINE 413 TUTORIAL,GLEN 311 LECTURE,COMP 331 LECTURE,MATH 101 TUT STATISTICS,MATH 301 LECTURE
